date,channel,format,pillar,impressions,clicks,spend,conversions
2026-06-01,Instagram,Static,Promotion,16165,259,37.11,2
2026-06-01,Instagram,Reel,Ingredient proof,8786,544,59.08,41
2026-06-01,Email,Newsletter,Customer results,1912,200,0.00,32
2026-06-01,TikTok,Reel,Education,11753,163,7.96,3
2026-06-02,TikTok,Reel,Education,12253,178,9.82,3
2026-06-02,Instagram,Static,Promotion,10193,203,36.00,2
2026-06-02,Instagram,Carousel,Customer results,5187,183,20.64,9
2026-06-02,Facebook,Carousel,Founder story,4822,170,21.46,5
2026-06-03,Instagram,Reel,Ingredient proof,7984,372,35.41,26
2026-06-03,TikTok,Reel,Education,10839,119,5.83,1
2026-06-03,Facebook,Carousel,Founder story,4878,142,17.82,5
2026-06-03,TikTok,Reel,Ingredient proof,26063,371,18.53,8
2026-06-04,Facebook,Carousel,Founder story,4687,153,19.65,6
2026-06-04,Instagram,Static,Promotion,8967,186,29.78,2
2026-06-04,Instagram,Story,Education,2920,90,9.30,3
2026-06-04,Instagram,Reel,Ingredient proof,7576,416,41.13,29
2026-06-05,TikTok,Reel,Education,10738,141,7.87,2
2026-06-05,TikTok,Reel,Ingredient proof,14429,185,8.56,4
2026-06-05,Instagram,Reel,Ingredient proof,9189,453,50.28,35
2026-06-05,Facebook,Carousel,Founder story,4686,173,23.41,7
2026-06-06,TikTok,Reel,Education,16432,177,10.04,2
2026-06-06,TikTok,Reel,Ingredient proof,27060,488,26.06,7
2026-06-07,TikTok,Reel,Ingredient proof,15559,232,10.26,5
2026-06-07,TikTok,Reel,Education,14777,149,6.76,2
2026-06-08,Facebook,Static,Promotion,17397,229,43.37,2
2026-06-08,TikTok,Reel,Education,12744,177,9.11,3
2026-06-08,Email,Newsletter,Customer results,2129,235,0.00,34
2026-06-08,Instagram,Story,Education,2851,87,7.07,2
2026-06-09,Instagram,Static,Promotion,10986,201,29.24,3
2026-06-09,TikTok,Reel,Ingredient proof,16743,202,9.39,4
2026-06-09,TikTok,Reel,Education,12746,183,9.88,3
2026-06-09,Email,Newsletter,Customer results,2562,314,0.00,47
2026-06-10,Facebook,Static,Promotion,15347,200,34.11,2
2026-06-10,Instagram,Story,Education,4194,96,8.07,3
